layer,train_silhouette,val_silhouette,test_silhouette
0,0.0,0.0,0.0
1,0.05120330676436424,0.05000247806310654,0.04929995536804199
2,0.04707322269678116,0.049371909350156784,0.05022241920232773
3,0.06296738237142563,0.0644792914390564,0.06641056388616562
4,0.05888329818844795,0.05999261885881424,0.06179339811205864
5,0.06331487745046616,0.06343415379524231,0.06473700702190399
6,0.06702983379364014,0.06739514321088791,0.06792671978473663
7,0.07298578321933746,0.07261963188648224,0.07332628965377808
8,0.08049420267343521,0.07951262593269348,0.0800766721367836
9,0.08564601838588715,0.08503665775060654,0.0853806883096695
10,0.09278590232133865,0.09224113076925278,0.09264273196458817
11,0.0910540446639061,0.09082406759262085,0.09086888283491135
12,0.09604238718748093,0.09587004035711288,0.09544654935598373
13,0.09245609492063522,0.09255257993936539,0.09230311959981918
14,0.08853982388973236,0.08903670310974121,0.08791128545999527
15,0.0893310159444809,0.09032809734344482,0.08847568929195404
16,0.08266298472881317,0.08371849358081818,0.0813811868429184
17,0.08284399658441544,0.08425264060497284,0.08178804069757462
18,0.08411736786365509,0.08592989295721054,0.08313700556755066
19,0.08267100155353546,0.08469892293214798,0.08157899975776672
20,0.090474434196949,0.09186647087335587,0.08851715177297592
21,0.08874765783548355,0.09031437337398529,0.08683012425899506
22,0.08996152877807617,0.09160678833723068,0.08792470395565033
23,0.09227669984102249,0.09461244195699692,0.09079588949680328
24,0.09602558612823486,0.09816154837608337,0.09485751390457153
