control,layer,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse
main,0,-5.7230256166773685e-05,nan,0.5287406466295443,-0.0015597963697999706,nan,0.5741333043957378
main,1,0.3081988996343109,0.6592492582689923,0.3657624284689073,0.2894512280493615,0.641360902440085,0.4073143868723429
main,2,0.6130795910685842,0.7984773843794337,0.20456883968546558,0.628143529773967,0.8012287692885758,0.2131626936161284
main,3,0.7142174042401126,0.8509280230706686,0.15109622720176394,0.7117587019840136,0.8482454236948219,0.16523120186438914
main,4,0.7200106353152547,0.8521323001902585,0.14803328574994287,0.7281689803317613,0.8587931029660139,0.15582418755730978
main,5,0.7846312018377191,0.8887673951385393,0.11386772092531457,0.8000683516054878,0.8968950336686772,0.11460865178702298
main,6,0.8246052734149748,0.9099987148633878,0.0927330140158311,0.8400562856610287,0.917821798908792,0.09168600173808901
main,7,0.8266488497948717,0.9118534334712897,0.09165255395429361,0.8671090884601514,0.9322294801298883,0.07617827556884502
main,8,0.822803709561207,0.9097247711199083,0.09368551954068154,0.8597265075327645,0.9281963795457334,0.0804102601175186
main,9,0.8516374348284782,0.9248607003097709,0.07844082945564466,0.888396553582662,0.9431830969527663,0.06397546677271061
main,10,0.8721456148842467,0.9346457627643691,0.06759794161301133,0.8985942244547058,0.9486066490108874,0.05812976240625367
main,11,0.8799554943768098,0.9391957352229305,0.06346877719315223,0.8903133521913471,0.944275124279714,0.06287668273300143
main,12,0.8961606347223251,0.948029930996331,0.05490095114702131,0.9050834256468715,0.9524940639879567,0.05440989811372646
main,13,0.9101662014261185,0.9552918197373436,0.04749606253531656,0.9110973487365193,0.9557319937012126,0.0509624818452659
main,14,0.9507939225291294,0.9755102195358764,0.026015764331194537,0.9561772810001976,0.9783085381738491,0.025120898979927427
main,15,0.9743121381854314,0.9874229868917228,0.01358143939710955,0.9736783433515908,0.9869160147431869,0.015088604558106181
main,16,0.9888587302155006,0.9944445955920813,0.005890505075015999,0.9898249364495565,0.9949020228491183,0.0058327449642316094
main,17,0.9900160822340558,0.9950093964831106,0.0052786010397718325,0.9916228068396389,0.9958040490197485,0.00480213523760858
main,18,0.9903097250543913,0.9951593373365764,0.00512334903018177,0.991353228687589,0.9956673525629937,0.004956667993206672
