layer_a,layer_b,cosine
8,18,0.040715125197863015
8,19,0.03840128112135756
8,20,0.029098862318822916
8,21,0.024410760526778204
8,22,0.03316532863784479
8,23,0.03289919407885425
8,24,0.032497152940950416
9,9,1.0000000000000002
9,10,0.4114235354809071
9,11,0.20917327499586055
9,12,0.11333346379707479
9,13,0.06551054564351269
9,14,0.06617861661883873
9,15,0.03582846399803728
9,16,0.03974291059766169
9,17,-0.009966228012538549
9,18,-0.0042597469146259635
9,19,0.004018444523211169
9,20,0.024914157475695448
9,21,0.03062444676171936
9,22,0.0559500183399148
9,23,0.05011951907603208
9,24,0.02854740106566107
10,10,1.0
10,11,0.3660411781288086
10,12,0.22576017214533958
10,13,0.14618278485177083
10,14,0.09716198070538482
10,15,0.05611577055424606
10,16,0.06997793120389313
10,17,0.06179107973912578
10,18,0.040892885573603835
10,19,0.03964413905129138
10,20,0.06329637299208335
10,21,0.04269595241634111
10,22,0.07825852266074441
10,23,0.07846789714965706
10,24,0.0618136170325046
11,11,0.9999999999999997
11,12,0.46110422866142964
11,13,0.24807441205810313
11,14,0.174420626179328
11,15,0.12092142608691843
11,16,0.07706404359450648
11,17,0.04095511824110866
11,18,0.0488595475741746
11,19,0.04287080848726227
11,20,0.040114228341916046
11,21,0.038981654950274454
11,22,0.03891105558035464
11,23,0.027138686795433575
11,24,0.009062490253980048
12,12,1.0000000000000004
12,13,0.4650490347891818
12,14,0.23815055917567426
12,15,0.14028740664307424
12,16,0.07923295817970402
12,17,0.06701683444503946
12,18,0.08539937570587616
12,19,0.07330697112131254
12,20,0.06447051487101747
12,21,0.04929216151992823
12,22,0.026065243757584865
12,23,0.013465124566256027
12,24,0.0013165811694730214
13,13,0.9999999999999999
13,14,0.39780245111240115
13,15,0.22303327996191558
13,16,0.1541405023557111
13,17,0.12475680788620748
13,18,0.1354070741328679
13,19,0.07559096307746835
13,20,0.0625318739841594
13,21,0.057061334587525964
13,22,0.05194527147570531
13,23,0.036043119356751405
13,24,0.0052222196173470885
14,14,0.9999999999999998
14,15,0.41943241468988873
14,16,0.23129192442036303
14,17,0.13460244469502933
14,18,0.1086776818002005
14,19,0.08421299935765315
14,20,0.09100774678609803
14,21,0.07546400726338293
14,22,0.08648341310729328
14,23,0.044117504625927145
14,24,0.016632277009685344
15,15,0.9999999999999999
15,16,0.36644301173888977
15,17,0.234371296130981
15,18,0.18132851401292976
15,19,0.14537078870943768
15,20,0.11405269280405614
15,21,0.10325464740924525
15,22,0.094075172544014
15,23,0.07076809416001867
15,24,0.044551117677179
16,16,1.0000000000000002
16,17,0.5087094153416396
16,18,0.3689460165531068
16,19,0.2849099636475475
16,20,0.2233060614495478
16,21,0.18358294441440998
16,22,0.14650111482236627
16,23,0.1161076908235869
16,24,0.08471273142683469
17,17,1.0000000000000002
17,18,0.5728214917662221
17,19,0.43676234189488783
17,20,0.26660704137560987
17,21,0.23251203819760602
17,22,0.19318501367890942
17,23,0.15392261075309105
17,24,0.13037729044044177
18,18,0.9999999999999996
18,19,0.6699670959964532
18,20,0.3935609067171499
18,21,0.3404412515472423
18,22,0.2698625252983644
18,23,0.2188136992767879
18,24,0.16964469533390478
19,19,0.9999999999999999
19,20,0.5426515004818998
19,21,0.44933929263180017
19,22,0.3547552802463545
19,23,0.2682508011766155
19,24,0.2462222531769711
20,20,1.0000000000000002
20,21,0.7552123039527419
20,22,0.5805111754890844
20,23,0.4356833673803616
20,24,0.35700610868309685
21,21,1.0000000000000004
21,22,0.7283012497774788
21,23,0.5458970834543634
21,24,0.4142762199899465
22,22,0.9999999999999997
22,23,0.7201473338060718
22,24,0.516716253166145
23,23,0.9999999999999999
23,24,0.6823471305816944
24,24,0.9999999999999993
