layer_a,layer_b,cosine
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
0,21,
0,22,
0,23,
0,24,
1,1,1.0000000000000002
1,2,0.2039865723066464
1,3,0.054262639851759005
1,4,0.004271466537436704
1,5,0.00022939994871958881
1,6,0.027556580612892536
1,7,0.05815962996261949
1,8,0.017010690393632517
1,9,0.004157389647769259
1,10,0.009328965613945838
1,11,-0.033698126661832056
1,12,-0.06274054692691568
1,13,-0.022896269637248737
1,14,-0.006019705684118484
1,15,-0.02405014163181515
1,16,0.0010191836508358955
1,17,-0.011354787072938155
1,18,-0.0011997786797713662
1,19,-0.012107320524056305
1,20,-0.011098776796490767
1,21,-0.006548074709736784
1,22,-0.010473379300793161
1,23,0.01483202483420148
1,24,0.005303263278939058
2,2,0.9999999999999999
2,3,0.22848516478531275
2,4,0.07309810620161009
2,5,0.02409502109895406
2,6,-0.008699863791294355
2,7,0.005282400150012148
2,8,-0.04106719161528195
2,9,-0.0408064445016605
2,10,-0.01568046626173123
2,11,-0.0039186239572418765
2,12,-0.027718738273924494
2,13,0.0058866788117594715
2,14,0.004978666019481163
2,15,0.03213794787360319
2,16,0.023451758170016296
2,17,0.005838192235762556
2,18,-0.01303298961565318
2,19,-0.01195283951075815
2,20,-0.008183665902413689
2,21,-0.014785251446896191
2,22,-0.016109055004473183
2,23,-0.04898126021688293
2,24,-0.006123269747966578
3,3,1.0000000000000002
3,4,0.215896580520945
3,5,0.08034315995981324
3,6,0.023553759248268528
3,7,-0.015718632325496168
3,8,-0.005504112269594028
3,9,0.01604699356492815
3,10,-0.001617194082336397
3,11,-0.00795527932245101
3,12,0.004333187812524987
3,13,-0.0007491775268730298
3,14,0.03216405786643724
3,15,-0.00955691797986855
3,16,-0.022758239931093934
3,17,-0.015497883574377227
3,18,-0.036330375331474124
3,19,-0.03704750175067236
3,20,-0.024224948062315014
3,21,0.003245666654049539
3,22,0.00011491325554639472
3,23,0.002200418767726084
3,24,0.005156181410676818
4,4,1.0
4,5,0.24571170825762018
4,6,0.09810233704146092
4,7,0.012471092352590701
4,8,0.0338359240184988
4,9,-0.004361500794391904
4,10,-0.008253876245144506
4,11,0.012677736874943415
4,12,0.029363960464570255
4,13,0.023232235727308877
4,14,0.010332817707367091
4,15,-0.015229881168518129
4,16,0.0025855418487166428
4,17,-0.0064666201461259405
4,18,-0.003392652834081004
4,19,-0.011268261106497696
4,20,-0.0014225158776374567
4,21,0.014183256094183385
4,22,0.02738573180928191
4,23,0.019556093858144614
4,24,0.02730259847045851
5,5,0.9999999999999996
5,6,0.2953205959014303
5,7,0.09156852320969536
5,8,0.05510305129076319
5,9,0.027496179579247767
5,10,0.0257239136842572
5,11,0.04476571690875545
5,12,0.045992906571410024
5,13,0.03449583188858308
5,14,0.03932187283397439
5,15,0.018918288813699616
5,16,-0.0047949635303607425
5,17,0.0009412674061042682
5,18,-0.00036600252821459775
5,19,-0.014789286366279542
5,20,-0.012203963756247625
5,21,-0.01687618505513845
5,22,-0.010391636541321886
5,23,-0.002118349752024913
5,24,-0.028037154890783945
6,6,0.9999999999999999
6,7,0.3361465941618481
6,8,0.11861925359533042
6,9,0.1166150044116875
6,10,0.07287969861933272
6,11,0.02953299202945808
6,12,0.03175533245978621
6,13,0.03915228783857922
6,14,0.02661662183006621
6,15,0.024268003991335548
6,16,0.028998869912508902
6,17,0.01838828327733861
6,18,0.0014069818875594095
6,19,0.010057431039448578
6,20,0.018988126717423382
6,21,0.029787931823731142
6,22,0.024615058589747836
6,23,0.015920367495379017
6,24,-0.00838360309817955
7,7,0.9999999999999997
7,8,0.31297680740434364
7,9,0.17509057511557682
7,10,0.07822331537806126
7,11,0.022546723843577837
7,12,0.007351494148043839
7,13,0.04089119688905741
7,14,-0.0028992926950394075
7,15,-0.006906147976415205
7,16,0.0028909699965215113
7,17,-0.004723477785619762
7,18,0.01237176692875028
7,19,0.012273461344270244
7,20,0.008506238870866559
7,21,0.017635420123905766
7,22,0.02330153882056079
7,23,0.02708810609289264
7,24,-0.043818329458581204
8,8,0.9999999999999998
8,9,0.33615232008683055
8,10,0.161580370722414
8,11,0.07122045646443123
8,12,0.019683127811597
8,13,0.05296677999073321
