control,layer,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse
main,0,-1.1568660720495672e-06,nan,0.3595656854627892,-2.769899478671789e-07,nan,0.41276813639726384
main,1,0.4210238346678319,0.6841449562143349,0.20817972091822218,0.4655310220136122,0.7028480703194573,0.22061170289836748
main,2,0.4547046979047412,0.7013062479620126,0.19606925225165472,0.5152780775130876,0.7298955613935969,0.20007770919630757
main,3,0.5757020490043108,0.7690206955309075,0.15256280709548656,0.6180951584281719,0.7906528275320612,0.15763810607252504
main,4,0.641696684985438,0.8042142596056621,0.12883342802377887,0.6844194353376485,0.829625940433763,0.13026156547773085
main,5,0.6614894937827078,0.817818179150656,0.12171662139454671,0.7411463220826673,0.8614782990273462,0.10684652063810282
main,6,0.7081610269097189,0.8435792796815718,0.1049351590080382,0.7547310737527795,0.8697159396554502,0.10123916956099087
main,7,0.7302569824559113,0.8558964603461864,0.09699022079734565,0.7736269110395884,0.8799941248292976,0.09343957217885893
main,8,0.7065561225882653,0.8435442233889879,0.10551222686289363,0.7657403413690935,0.875660050198232,0.09669489594262431
main,9,0.7390944219738126,0.862218605729305,0.0938125844754552,0.794337916124984,0.8915984279393074,0.08489073157478884
main,10,0.7423329183398621,0.8642068017761678,0.0926481336568415,0.7903937002165333,0.8898572275644957,0.086518777773916
main,11,0.7507669592168551,0.8686259296497918,0.08961554547598269,0.7990623356948969,0.8948337316746403,0.08294064225351226
main,12,0.7633922796772887,0.8762643747916133,0.08507591872217969,0.8048092850177435,0.8977507684181367,0.08056848534861498
main,13,0.7792102214404929,0.8841913497456425,0.07938833622925391,0.8185879199682118,0.9049808219079967,0.07488110545335899
main,14,0.8050989579091241,0.8978624757229915,0.07007964572405323,0.8390850804506351,0.9164751656437078,0.06642053306308701
main,15,0.8523986513416786,0.9236278405111507,0.05307231870799658,0.8794215916536134,0.9381462166145677,0.049770911116844195
main,16,0.8721006682795559,0.9342975431936028,0.04598815767815481,0.8933522470737674,0.9453071131203931,0.04402078203300278
main,17,0.8731790986131028,0.9350121070123336,0.04560039158464259,0.892594430716634,0.9451152321483255,0.044333584391824936
main,18,0.872565950246471,0.9347331435202395,0.04582085844233031,0.8934354127805028,0.9452914342564712,0.04398645388873
main,19,0.8618133106652233,0.9296277925389222,0.04968713419113274,0.8915617847589784,0.9446499383388082,0.04475982762125956
