layer,train_silhouette,val_silhouette,test_silhouette
0,0.0,0.0,0.0
1,0.015530317090451717,0.013696485199034214,0.015320807695388794
2,0.018743447959423065,0.016535963863134384,0.017517995089292526
3,0.019488733261823654,0.01552294660359621,0.015131741762161255
4,0.012200288474559784,0.009757808409631252,0.009404703043401241
5,0.011453161016106606,0.008846675977110863,0.009632366709411144
6,0.010038848966360092,0.007223544642329216,0.009325720369815826
7,0.01312412042170763,0.010983612388372421,0.011919599026441574
8,0.010553017258644104,0.008854230865836143,0.010138616897165775
9,0.011123904027044773,0.009575123898684978,0.011363960802555084
10,0.011467080563306808,0.009965253993868828,0.011568608693778515
11,0.01030102837830782,0.009443716146051884,0.010761923156678677
12,0.011297296732664108,0.009895808063447475,0.011401851661503315
13,0.011204562149941921,0.010065793991088867,0.011532284319400787
14,0.010479963384568691,0.009963040240108967,0.010527015663683414
15,0.01217575091868639,0.011982542462646961,0.011877145618200302
16,0.017485326156020164,0.01721884496510029,0.016454407945275307
17,0.015312761068344116,0.01612439565360546,0.01537556853145361
18,0.013399497605860233,0.014658874832093716,0.013642125762999058
19,0.012807955965399742,0.013988497667014599,0.0125264972448349
20,0.014827845618128777,0.016025464981794357,0.015153479762375355
21,0.013879845850169659,0.01534532755613327,0.014020460657775402
22,0.012354613281786442,0.01392501313239336,0.012612888589501381
23,0.010836753062903881,0.01298770122230053,0.010993022471666336
24,0.011397096328437328,0.013606270775198936,0.011812436394393444
