layer_a,layer_b,cosine
8,16,-0.012321859679876587
8,17,-0.023413585474050386
8,18,0.002235585757413564
8,19,-0.014723702976805107
8,20,0.02850180699487115
8,21,0.008406758468140384
8,22,0.002215976238481551
8,23,0.003767152319496655
8,24,0.026568957004442235
9,9,1.0000000000000002
9,10,0.4637364464992295
9,11,0.2629055052765036
9,12,0.1323947391613405
9,13,0.10164472664847049
9,14,0.07574853650128784
9,15,0.015176410053587303
9,16,0.0003530691840187821
9,17,0.0010147653958901548
9,18,-0.027561407315965795
9,19,-0.0641520774846932
9,20,-0.03711038068988236
9,21,-0.039995933167804566
9,22,-0.04163298154292938
9,23,-0.02838306506154465
9,24,-0.011974916273416587
10,10,1.0
10,11,0.45329842721782365
10,12,0.23038379872271889
10,13,0.16516104062865986
10,14,0.08679696691188081
10,15,0.05145778647536519
10,16,-0.006044115752527564
10,17,-0.01952926969860407
10,18,-0.044927322686861844
10,19,-0.03756982333592768
10,20,-0.023625020321901627
10,21,-0.009633585211363245
10,22,-0.011794693281042257
10,23,-0.02341488268598047
10,24,-0.00657815542478795
11,11,1.0000000000000002
11,12,0.4542316189379358
11,13,0.2889284850220502
11,14,0.13452690446713578
11,15,0.08034438364256606
11,16,0.028561860161970702
11,17,-0.014912430441852307
11,18,-0.02122205803797217
11,19,-0.03324992505511208
11,20,0.01291387287843326
11,21,-0.004719050486722991
11,22,0.013800832101470522
11,23,0.014127866001724982
11,24,0.04056300294783945
12,12,0.9999999999999999
12,13,0.4889332700973803
12,14,0.2064023076711584
12,15,0.07643347940782413
12,16,0.018331250926167744
12,17,0.0005394656522728415
12,18,0.0022463432839258547
12,19,-0.004179202711505903
12,20,-0.004353064331530692
12,21,0.021541398021693463
12,22,0.021729025811017176
12,23,0.014099313076145606
12,24,0.02673510023645699
13,13,1.0
13,14,0.3370363037156139
13,15,0.1349223914753476
13,16,0.021507265104558804
13,17,0.020416049505198437
13,18,0.009294451398892829
13,19,-0.0006910959452039456
13,20,0.007060610980366398
13,21,0.016346584061353926
13,22,0.009971644656742364
13,23,0.02044592329587638
13,24,0.029652410684061645
14,14,1.0000000000000002
14,15,0.32488509083964867
14,16,0.07410933745937436
14,17,0.013191815483313253
14,18,0.03383303850831837
14,19,0.02961179174716308
14,20,0.0310366497624762
14,21,0.016881869758415033
14,22,0.008871865747671941
14,23,0.02396732128301287
14,24,0.015199295893792163
15,15,1.0
15,16,0.2527128755602487
15,17,0.1268030165894875
15,18,0.10818044388363465
15,19,0.10335907821872542
15,20,0.053605389817811794
15,21,0.0762557464023328
15,22,0.0770953464081879
15,23,0.051000080941717985
15,24,0.034775065978077044
16,16,0.9999999999999998
16,17,0.5195118577607678
16,18,0.372794371765405
16,19,0.29114082199333624
16,20,0.18907516469305435
16,21,0.16626779598429353
16,22,0.1564856425455934
16,23,0.13623387919542568
16,24,0.08092689929132497
17,17,1.0
17,18,0.6536723711638709
17,19,0.47726187080322785
17,20,0.3248692260784678
17,21,0.26761545517625096
17,22,0.23055532906584392
17,23,0.2124028911429094
17,24,0.1636579632416524
18,18,1.0
18,19,0.6955783069889617
18,20,0.43295565024548033
18,21,0.3785524420568413
18,22,0.3095410767503358
18,23,0.26542418024360137
18,24,0.2021881606493018
19,19,0.9999999999999997
19,20,0.5733445812016688
19,21,0.48851893480692593
19,22,0.39626406140736126
19,23,0.3252789982307436
19,24,0.24041671254779312
20,20,1.0000000000000002
20,21,0.7677331049444371
20,22,0.6016843808245161
20,23,0.463051909837515
20,24,0.344445029969639
21,21,0.9999999999999997
21,22,0.7669028025702015
21,23,0.5943338450521207
21,24,0.43876193832483273
22,22,1.0
22,23,0.750290521962947
22,24,0.5488276547099787
23,23,1.0000000000000002
23,24,0.6842380015360978
24,24,1.0
