control,layer,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse
main,0,-1.287480344980274e-05,nan,0.31864715005925315,-5.422344711014659e-07,nan,0.3026482855540811
main,1,0.8243616240435724,0.90875857488253,0.05596594738897881,0.8127400905363011,0.9046441148836847,0.05667385982168048
main,2,0.8822223111074223,0.9395773928121154,0.03752904172714933,0.8608876158042753,0.9288433288850153,0.042102101746965846
main,3,0.9095736871317337,0.9537775439852605,0.028813715914910384,0.906754469885131,0.952389139625693,0.02822058452267282
main,4,0.9257938743739994,0.9622456044173943,0.023645266019511474,0.9193930601177611,0.9592461049620844,0.024395538931018333
main,5,0.943337558323377,0.9713001216384337,0.018055093099879654,0.9356890887883456,0.9674529184637111,0.019463576466805847
main,6,0.9505186804694228,0.9749515565113765,0.015766878454128573,0.944842942013132,0.9720989988125271,0.016693179984315024
main,7,0.9547130368406758,0.9770948073764718,0.014430375957302885,0.9506059781246659,0.9750793923697423,0.014949007931323232
main,8,0.9536528577806325,0.9765605061975076,0.014768194643989012,0.950188436051544,0.9748667727231695,0.015075376255378997
main,9,0.9578300703682902,0.9786983017619291,0.0134371548946154,0.9568396343259968,0.9782718018062738,0.01306240359223878
main,10,0.96391255415368,0.9817916728534283,0.011499013724305935,0.9622768682657485,0.98101053984625,0.011416834954500502
main,11,0.9674863539167193,0.9836201716990414,0.010360247276325198,0.9650325740092222,0.9824658510848189,0.010582825787975187
main,12,0.9688725081092998,0.9843318533998161,0.009918558879968049,0.9658267092745793,0.9827953834857021,0.01034248224173937
main,13,0.9757489958942819,0.9878198716588283,0.007727413855427758,0.9739224939293645,0.9869027867075386,0.007892308224322415
main,14,0.9800504799027672,0.9899817877326391,0.006356775881792993,0.9789115069750965,0.9894102527381963,0.006382392798152858
main,15,0.9830311991449513,0.9914822422273869,0.005406990418445391,0.9817569453179442,0.99084955040153,0.0055212262289943415
main,16,0.9863522954360285,0.9931579568447169,0.004348746174907908,0.9851409583970897,0.992559634612222,0.00449706102763607
main,17,0.9867053246720355,0.9933333928572499,0.004236255863257355,0.9862432603306488,0.993110760417431,0.0041634514181760765
main,18,0.9867142210169974,0.9933403507543426,0.004233421104786264,0.9859596945050257,0.9929705517329577,0.0042492720826077185
main,19,0.9875300209273341,0.9937495115983748,0.003973472135130756,0.9864113686490529,0.9932046492059423,0.004112573751411316
main,20,0.989897963896633,0.994942684548779,0.0032189435708677877,0.9894679871243689,0.9947201230333599,0.003187493911874191
main,21,0.990290351349563,0.9951355169319646,0.003093912037029066,0.9898311377731496,0.9949041393018335,0.0030775870502181405
main,22,0.9906705962290621,0.9953252091982592,0.0029727496497939905,0.9903914394045296,0.9951857920896313,0.0029080128140368507
main,23,0.9910599641641825,0.9955271953030292,0.002848680264312351,0.9905777218173106,0.9952787479617559,0.002851634791749871
main,24,0.9922374061511718,0.9961114890996529,0.0024734965612145136,0.9917860136962361,0.9958905264404376,0.002485947524432393
within_scenario_family,0,-1.287480344980274e-05,nan,0.31864715005925315,-5.422344711014659e-07,nan,0.3026482855540811
