soc,profession,soc_major_title,onet_action,abstain_variant,k_man,n,rate_man
51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Production Occupations,"Stop machines to remove finished workpieces or to change tooling, setup, or workpiece placement, according to required machining sequences.",with_abstain,1,12,0.08333333333333333
51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Production Occupations,"Stop machines to remove finished workpieces or to change tooling, setup, or workpiece placement, according to required machining sequences.",without_abstain,2,4,0.5
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Production Occupations,"Determine the sequence of machine operations, and select the proper cutting tools needed to machine workpieces into the desired shapes.",with_abstain,6,12,0.5
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Production Occupations,"Determine the sequence of machine operations, and select the proper cutting tools needed to machine workpieces into the desired shapes.",without_abstain,4,4,1.0
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Determine setup procedures and select machine dies and parts, according to specifications.",with_abstain,5,12,0.4166666666666667
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Determine setup procedures and select machine dies and parts, according to specifications.",without_abstain,3,4,0.75
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,Confer with other workers about machine setups and operational specifications.,with_abstain,9,12,0.75
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,Confer with other workers about machine setups and operational specifications.,without_abstain,3,4,0.75
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Read rolling orders, blueprints, and mill schedules to determine setup specifications, work sequences, product dimensions, and installation procedures.",with_abstain,5,12,0.4166666666666667
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Read rolling orders, blueprints, and mill schedules to determine setup specifications, work sequences, product dimensions, and installation procedures.",without_abstain,4,4,1.0
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Test and adjust machine speeds or actions, according to product specifications, using gauges and hand tools.",with_abstain,0,12,0.0
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Test and adjust machine speeds or actions, according to product specifications, using gauges and hand tools.",without_abstain,2,4,0.5
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Change worn cutting tools, using wrenches.",with_abstain,0,12,0.0
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Change worn cutting tools, using wrenches.",without_abstain,2,4,0.5
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set and adjust machine controls according to product specifications, using knowledge of machine operation.",with_abstain,0,12,0.0
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set and adjust machine controls according to product specifications, using knowledge of machine operation.",without_abstain,3,4,0.75
