control,layer,val_accuracy,val_balanced_accuracy,val_roc_auc,test_accuracy,test_balanced_accuracy,test_roc_auc
main,0,0.4473684210526316,0.5,0.5,0.43026315789473685,0.5,0.5
main,1,0.6644736842105263,0.6633753501400561,0.733921568627451,0.6828947368421052,0.6790368031866432,0.7210204038392272
main,2,0.6618421052631579,0.655952380952381,0.7299089635854342,0.6657894736842105,0.6580361746156183,0.7120862201693611
main,3,0.6618421052631579,0.6562324929971989,0.7164495798319327,0.6907894736842105,0.6837193041930631,0.7327796258236753
main,4,0.6421052631578947,0.6364145658263305,0.6985434173669467,0.6684210526315789,0.6663347246647033,0.7160342112139896
main,5,0.6631578947368421,0.6596638655462185,0.7243207282913164,0.6342105263157894,0.6344400420930709,0.6836663347246646
main,6,0.6657894736842105,0.6631652661064426,0.7299089635854341,0.6289473684210526,0.6286981517186827,0.68526954396819
main,7,0.6947368421052632,0.692156862745098,0.7579481792717088,0.6407894736842106,0.6435825723386374,0.7037311693539843
main,8,0.7013157894736842,0.6989495798319327,0.7607072829131653,0.6697368421052632,0.6644949184623317,0.7116412766348144
main,9,0.6973684210526315,0.6892156862745098,0.7548949579831932,0.6684210526315789,0.665586089511339,0.7183295548445876
main,10,0.656578947368421,0.6509103641456583,0.7063795518207283,0.6631578947368421,0.6620901045970435,0.7171147883693174
main,11,0.7065789473684211,0.7051120448179271,0.7558333333333334,0.6684210526315789,0.6678319949714318,0.7280829996256825
main,12,0.7157894736842105,0.7126050420168067,0.7696498599439776,0.6671052631578948,0.6640570375235715,0.7297497722312858
main,13,0.7052631578947368,0.7011204481792717,0.7889005602240897,0.7131578947368421,0.7089645528317479,0.7779166754949114
main,14,0.75,0.7427170868347339,0.8318487394957984,0.725,0.7174855746481061,0.7934543862251132
main,15,0.8223684210526315,0.8224789915966386,0.9036134453781514,0.8131578947368421,0.810574118411481,0.8924437287680714
main,16,0.8710526315789474,0.8684873949579832,0.9463375350140056,0.8697368421052631,0.8692113199285265,0.9406671327979885
main,17,0.8592105263157894,0.8572128851540617,0.9392717086834734,0.8657894736842106,0.864998481541906,0.9329265278160334
main,18,0.8578947368421053,0.8560224089635855,0.9354131652661064,0.8578947368421053,0.8595673453821218,0.9290421001334831
main,19,0.8552631578947368,0.8519607843137255,0.9277380952380954,0.8460526315789474,0.84692883022226,0.9262099992231144
main,20,0.843421052631579,0.8378851540616246,0.9144397759103642,0.8381578947368421,0.8396261061790651,0.9252494861961567
main,21,0.8157894736842105,0.8098039215686275,0.9013795518207284,0.843421052631579,0.8464909492834997,0.9254966770486825
main,22,0.8131578947368421,0.8063025210084034,0.8926890756302521,0.8276315789473684,0.8300139133136992,0.9175865697678524
main,23,0.8236842105263158,0.8183473389355742,0.9031022408963585,0.8157894736842105,0.8226158442273873,0.9028398697657338
main,24,0.8289473684210527,0.8264705882352941,0.9033053221288516,0.8026315789473685,0.8091969122331222,0.8900000706259579
within_scenario_family,0,0.4473684210526316,0.5,0.5,0.43026315789473685,0.5,0.5
within_scenario_family,1,0.5289473684210526,0.5242296918767507,0.5240966386554622,0.5263157894736842,0.5225332118566859,0.5101312936556702
within_scenario_family,2,0.5460526315789473,0.5394257703081232,0.5207563025210084,0.5144736842105263,0.5057772033533204,0.5058866735880105
within_scenario_family,3,0.5197368421052632,0.5158963585434174,0.525889355742297,0.506578947368421,0.5007203847702184,0.5058442980132918
within_scenario_family,4,0.5157894736842106,0.5033613445378151,0.5012885154061625,0.5184210526315789,0.5148561702368089,0.5177800848924013
within_scenario_family,5,0.5368421052631579,0.5288515406162465,0.5296568627450982,0.5197368421052632,0.5107704585743444,0.5097922890579203
within_scenario_family,6,0.5302631578947369,0.5299019607843137,0.5299299719887955,0.5342105263157895,0.5242211722496486,0.5340311177970352
within_scenario_family,7,0.525,0.5220588235294118,0.523921568627451,0.5460526315789473,0.5443460389431531,0.5339958048181028
within_scenario_family,8,0.5197368421052632,0.52093837535014,0.527843137254902,0.5144736842105263,0.509894696696824,0.509771101270561
within_scenario_family,9,0.5460526315789473,0.5475490196078432,0.554404761904762,0.5171052631578947,0.5114555303656305,0.4953139676956869
within_scenario_family,10,0.5276315789473685,0.5227591036414565,0.5396848739495799,0.5184210526315789,0.5148561702368089,0.5122924479663256
within_scenario_family,11,0.5421052631578948,0.5392156862745098,0.5447128851540616,0.5171052631578947,0.5148243885557697,0.5212478194235509
within_scenario_family,12,0.5236842105263158,0.5225490196078431,0.5156652661064426,0.5263157894736842,0.517667083359818,0.5279360976333242
within_scenario_family,13,0.5289473684210526,0.5214285714285715,0.5353851540616247,0.5289473684210526,0.5188535994519425,0.5230911569238158
within_scenario_family,14,0.5078947368421053,0.500140056022409,0.524124649859944,0.5092105263157894,0.5000353129789323,0.528910735851855
within_scenario_family,15,0.5236842105263158,0.5242296918767507,0.5378641456582633,0.4789473684210526,0.4775939148674704,0.5018186184150123
within_scenario_family,16,0.5328947368421053,0.5311624649859944,0.5404971988795518,0.5171052631578947,0.5181932467459089,0.5214102591266394
within_scenario_family,17,0.5210526315789473,0.5218487394957982,0.5285924369747899,0.5263157894736842,0.5266507052001893,0.5370750965809974
within_scenario_family,18,0.5263157894736842,0.5224089635854342,0.5228221288515407,0.5302631578947369,0.5297405908567635,0.5423226052503337
within_scenario_family,19,0.5342105263157895,0.5295518207282913,0.5203571428571429,0.5368421052631579,0.5377601683722835,0.5307046351816147
within_scenario_family,20,0.5276315789473685,0.525,0.5199159663865547,0.5131578947368421,0.50724269197901,0.5141357854665903
within_scenario_family,21,0.5197368421052632,0.513095238095238,0.5145518207282913,0.5092105263157894,0.5045271238991178,0.4909210331165117
within_scenario_family,22,0.5302631578947369,0.5254201680672269,0.5171288515406163,0.4934210526315789,0.4944134867329138,0.49478427301170275
within_scenario_family,23,0.5144736842105263,0.5083333333333333,0.5139145658263305,0.48947368421052634,0.4898263307696111,0.47932425083515195
within_scenario_family,24,0.5092105263157894,0.5024509803921569,0.5202450980392157,0.4986842105263158,0.497160836493845,0.4853980832115035
global,0,0.4263157894736842,0.5,0.5,0.4631578947368421,0.5,0.5
global,1,0.4842105263157895,0.472760221995696,0.4647539358930796,0.5092105263157894,0.5064338235294117,0.5046861073975044
global,2,0.5171052631578947,0.5160975195378865,0.5193538339562804,0.5092105263157894,0.5072136809269162,0.5096089572192514
global,3,0.4776315789473684,0.47178332767017783,0.46339477857061956,0.5118421052631579,0.5040106951871658,0.5118719362745099
