control,layer,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse
main,0,-6.44459841963041e-05,nan,0.1959862146724119,-3.9065708061114535e-05,nan,0.1887630414147904
main,1,0.7018217896651151,0.846632063419657,0.058435052836836705,0.6878327941007961,0.8371522060125788,0.05892332933390908
main,2,0.7513054554713161,0.8709289939379944,0.04873756145174125,0.7420021407441637,0.8660369046893187,0.04869855814798107
main,3,0.827314657683661,0.912473587429502,0.03384176560409764,0.8222420379426667,0.909195959605797,0.033552822788857455
main,4,0.8622106828453872,0.9298304649198313,0.02700306645223516,0.8449779369889485,0.9202200896861986,0.029261292987232016
main,5,0.8783450889671335,0.9382186195157246,0.023841149043326078,0.8749288493809475,0.9357696035143079,0.023607888525218626
main,6,0.8899334379149937,0.9442088559708973,0.02157013875622499,0.8894889826305116,0.9433414927682702,0.020859580854211433
main,7,0.8994623520219605,0.9488374990639904,0.019702723297889146,0.8979665598262808,0.9478615277448545,0.019259390111493763
main,8,0.8993203799503523,0.9493136829995152,0.01973054607372666,0.8972160921952596,0.9476307974673163,0.01940104513015509
main,9,0.9176203239939237,0.9583894409335952,0.016144240434906684,0.9108258294357365,0.9546833132893106,0.016832130092271427
main,10,0.9222054124479755,0.9607768124737815,0.015245684213198942,0.918989213191799,0.9588654197320882,0.015291245142002592
main,11,0.9297825438967484,0.9646879784215423,0.013760766599455718,0.9269419110556804,0.9629455368408335,0.01379012834795389
main,12,0.9337287059544406,0.9665892971552398,0.012987423074169353,0.929532490731661,0.9641806788027621,0.013301141751896034
main,13,0.9397882757762214,0.9697437991599277,0.01179990745286832,0.9344448277713127,0.9667766116086451,0.012373910294790276
main,14,0.949127842905514,0.9743690300323784,0.009969599000548968,0.945335678097603,0.9723149165666048,0.010318200571362362
main,15,0.9571317099680179,0.978425899104993,0.008401052478751985,0.9564258812559142,0.9780847943975078,0.008224861871050168
main,16,0.9691859737029962,0.9845152080878216,0.0060387352005326295,0.9683566051427508,0.9841566530855146,0.005972870119543121
main,17,0.9677905878622303,0.9838337113914573,0.006312193966152541,0.9680456675154167,0.9840311455674398,0.006031561358954194
main,18,0.9653356651632431,0.9825709881313855,0.0067932939682772845,0.9675934255398733,0.9837370230384199,0.00611692459493793
main,19,0.9664847372391332,0.9831538646823437,0.006568106194185542,0.9687637522996101,0.9843324659616446,0.005896018786162736
main,20,0.9671479611396328,0.9834732125772128,0.006438131828772254,0.9696049554124646,0.9848000927006291,0.00573723693105832
main,21,0.9677275345841144,0.9837582108415774,0.006324550743108504,0.9694746073893121,0.9847133706280916,0.005761840859181113
main,22,0.9689570411269214,0.9843834984354287,0.006083599938180556,0.9692707393617033,0.9846005642525927,0.005800322104822677
main,23,0.9688646726900784,0.9843578237371281,0.0061017017118860225,0.9704055205164605,0.9851449193378137,0.005586125730443562
main,24,0.968176495668098,0.9840154986805749,0.006236566229971875,0.9684968673144873,0.9841809443621212,0.00594639483968625
within_scenario_family,0,-6.44459841963041e-05,nan,0.1959862146724119,-3.9065708061114535e-05,nan,0.1887630414147904
within_scenario_family,1,0.7018217896651151,0.846632063419657,0.058435052836836705,0.6878327941007961,0.8371522060125788,0.05892332933390908
within_scenario_family,2,0.7513054554713161,0.8709289939379944,0.04873756145174125,0.7420021407441637,0.8660369046893187,0.04869855814798107
within_scenario_family,3,0.827314657683661,0.912473587429502,0.03384176560409764,0.8222420379426667,0.909195959605797,0.033552822788857455
within_scenario_family,4,0.8622106828453872,0.9298304649198313,0.02700306645223516,0.8449779369889485,0.9202200896861986,0.029261292987232016
within_scenario_family,5,0.8783450889671335,0.9382186195157246,0.023841149043326078,0.8749288493809475,0.9357696035143079,0.023607888525218626
within_scenario_family,6,0.8899334379149937,0.9442088559708973,0.02157013875622499,0.8894889826305116,0.9433414927682702,0.020859580854211433
within_scenario_family,7,0.8994623520219605,0.9488374990639904,0.019702723297889146,0.8979665598262808,0.9478615277448545,0.019259390111493763
within_scenario_family,8,0.8993203799503523,0.9493136829995152,0.01973054607372666,0.8972160921952596,0.9476307974673163,0.01940104513015509
within_scenario_family,9,0.9176203239939237,0.9583894409335952,0.016144240434906684,0.9108258294357365,0.9546833132893106,0.016832130092271427
within_scenario_family,10,0.9222054124479755,0.9607768124737815,0.015245684213198942,0.918989213191799,0.9588654197320882,0.015291245142002592
within_scenario_family,11,0.9297825438967484,0.9646879784215423,0.013760766599455718,0.9269419110556804,0.9629455368408335,0.01379012834795389
within_scenario_family,12,0.9337287059544406,0.9665892971552398,0.012987423074169353,0.929532490731661,0.9641806788027621,0.013301141751896034
within_scenario_family,13,0.9397882757762214,0.9697437991599277,0.01179990745286832,0.9344448277713127,0.9667766116086451,0.012373910294790276
within_scenario_family,14,0.949127842905514,0.9743690300323784,0.009969599000548968,0.945335678097603,0.9723149165666048,0.010318200571362362
within_scenario_family,15,0.9571317099680179,0.978425899104993,0.008401052478751985,0.9564258812559142,0.9780847943975078,0.008224861871050168
within_scenario_family,16,0.9691859737029962,0.9845152080878216,0.0060387352005326295,0.9683566051427508,0.9841566530855146,0.005972870119543121
within_scenario_family,17,0.9677905878622303,0.9838337113914573,0.006312193966152541,0.9680456675154167,0.9840311455674398,0.006031561358954194
within_scenario_family,18,0.9653356651632431,0.9825709881313855,0.0067932939682772845,0.9675934255398733,0.9837370230384199,0.00611692459493793
within_scenario_family,19,0.9664847372391332,0.9831538646823437,0.006568106194185542,0.9687637522996101,0.9843324659616446,0.005896018786162736
within_scenario_family,20,0.9671479611396328,0.9834732125772128,0.006438131828772254,0.9696049554124646,0.9848000927006291,0.00573723693105832
within_scenario_family,21,0.9677275345841144,0.9837582108415774,0.006324550743108504,0.9694746073893121,0.9847133706280916,0.005761840859181113
within_scenario_family,22,0.9689570411269214,0.9843834984354287,0.006083599938180556,0.9692707393617033,0.9846005642525927,0.005800322104822677
within_scenario_family,23,0.9688646726900784,0.9843578237371281,0.0061017017118860225,0.9704055205164605,0.9851449193378137,0.005586125730443562
within_scenario_family,24,0.968176495668098,0.9840154986805749,0.006236566229971875,0.9684968673144873,0.9841809443621212,0.00594639483968625
global,0,-0.0028306019112396275,nan,0.19841446451639128,-0.0011190886683773993,nan,0.17887817324662844
global,1,-0.46168757046612785,0.037368421294811084,0.2892013427108912,-0.6151114639796305,-0.005776721562998612,0.28858523579912015
global,2,-0.4880146626874753,-0.012608867744584223,0.29441027420482124,-0.5121502204405177,-0.0038546952366589676,0.27018830443706265
global,3,-0.37061487053847175,0.023931038568871632,0.2711822067234483,-0.5176112656122203,-0.028952332565838238,0.2711640742484553
global,4,-0.3728228541305476,0.016285798797472256,0.27161906603074076,-0.42773957394993634,0.000654645422155587,0.25510596067026253
global,5,-0.42979433815040724,-0.025863619085366146,0.282891125811287,-0.3988056884346849,0.006127967792042325,0.24993610561058174
global,6,-0.3603334026211509,0.006053554343293977,0.2691479728784003,-0.47128301757765456,-0.027641567067944826,0.26288622551702934
global,7,-0.3894921503239763,-0.010581845339736409,0.27491715991796445,-0.4125885828707081,-0.00833695634453568,0.2523988086063325
global,8,-0.3757075055360932,0.015179207676340551,0.27218980705405715,-0.4730675530541677,-0.02206084011671447,0.26320508313321667
global,9,-0.452204370874963,-0.021752120195616963,0.2873250497804631,-0.4391916154158815,-0.00479994175808673,0.25715219101444436
global,10,-0.42917781041296577,0.003910069252524052,0.2827691430749696,-0.472357710031422,-0.012988080447981186,0.2630782496479322
global,11,-0.4303191595187885,0.0074098717118841915,0.2829949640373799,-0.5452780914353823,-0.04005676418785433,0.27610753334218074
global,12,-0.459108188493486,-0.017586598439536423,0.28869100059337943,-0.4937025766326395,-0.04866407064612777,0.2668921123432259
global,13,-0.43427256046434404,-0.0036155673557413336,0.28377716187830737,-0.517126529238044,-0.04739868758944033,0.27107746241765485
global,14,-0.4056046011682459,0.025808384582689296,0.2781050794930348,-0.5127697303608696,-0.03436698806104503,0.27029899736472235
global,15,-0.4716060797087629,-0.014290350395668927,0.29116376357881013,-0.5733292253284927,-0.03526704802733928,0.28111965991642324
global,16,-0.4421576115363768,0.015342954736261207,0.28533725406452515,-0.5786709119149758,-0.06106609179781593,0.28207410294868734
global,17,-0.44036811544223786,-0.007350675883849431,0.28498319435733627,-0.47158979828357994,-0.00025872271275654706,0.2629410405464143
global,18,-0.4637608819403347,-0.01666356506095562,0.28961155654475945,-0.5259387593837337,-0.028729219372047924,0.2726520159832916
global,19,-0.47188163155308693,-0.014958952136112839,0.291218282728439,-0.5432909961804888,-0.04215943602227644,0.27575248270606195
global,20,-0.43651170251820237,0.003865491338002366,0.28422018602490373,-0.5479199400948656,-0.049054175841407276,0.2765795741488654
global,21,-0.43259985910808263,0.014744281092409812,0.28344621052593943,-0.5370069333277001,-0.04682841203125118,0.274629657563282
global,22,-0.45555275931280725,-0.004950502278801649,0.28798754322414294,-0.570345216077675,-0.051973088820257723,0.2805864824655294
global,23,-0.45707008457440623,-0.010672298195989202,0.28828775272981977,-0.5422339156546845,-0.03319432509326409,0.27556360544303626
global,24,-0.46683675534158176,-0.020161102462535906,0.29022013168463406,-0.5439616929002689,-0.037721945574632834,0.2758723215997507
