layer_a,layer_b,cosine
8,15,0.05559447841391428
8,16,0.05400217587106711
8,17,0.043339572150266174
8,18,0.028620620100869396
8,19,0.03910057932094131
8,20,0.05492186962337901
8,21,0.03791121051662363
8,22,0.033541086068757206
8,23,0.0326688248351968
8,24,0.016530593603952766
9,9,0.9999999999999998
9,10,0.56863773612621
9,11,0.3618694388554561
9,12,0.2767633035019352
9,13,0.19317902207671644
9,14,0.13624410367497672
9,15,0.046839693912005126
9,16,0.0353830604288584
9,17,0.03402154358218146
9,18,0.02762618703313433
9,19,0.010648315227325247
9,20,0.013085780773836042
9,21,0.023399340196886602
9,22,0.031751169385163584
9,23,0.01872397738558197
9,24,-0.02014584422194087
10,10,0.9999999999999998
10,11,0.5426720615663074
10,12,0.37076454938312736
10,13,0.23894517987323857
10,14,0.16690090099789243
10,15,0.0863840284261129
10,16,0.05024652358897487
10,17,0.071322903336403
10,18,0.05015224344080375
10,19,0.04464624337332635
10,20,0.023672163184467868
10,21,0.02715678825845797
10,22,0.02962464038271203
10,23,0.014154837210157804
10,24,-0.02883440568560075
11,11,0.9999999999999998
11,12,0.6016853137814479
11,13,0.36271391842501916
11,14,0.2684803991339477
11,15,0.15270081475814726
11,16,0.11048410502557149
11,17,0.0945196245842529
11,18,0.07189880588842396
11,19,0.057791888145004765
11,20,0.04646003562605435
11,21,0.059815837752568046
11,22,0.030241770414377325
11,23,0.042280517661938785
11,24,0.011947960300061736
12,12,1.0000000000000004
12,13,0.5669336909608749
12,14,0.3417382981294492
12,15,0.18385623074882443
12,16,0.11908434623107643
12,17,0.09417820322171797
12,18,0.06780535663176725
12,19,0.0612797627785288
12,20,0.0444526245377906
12,21,0.05368973930995149
12,22,0.04677367563880042
12,23,0.04342909991356002
12,24,0.010124522711811915
13,13,1.0
13,14,0.5492625295170646
13,15,0.31384702233794115
13,16,0.21051436863855744
13,17,0.16302294892681052
13,18,0.11554157382461858
13,19,0.11172061570226316
13,20,0.07506613522399548
13,21,0.08381173354895338
13,22,0.07333788903927799
13,23,0.04159093225718677
13,24,0.007191101325340456
14,14,0.9999999999999999
14,15,0.5324087127871924
14,16,0.32496431544620674
14,17,0.26068506760221666
14,18,0.23606083344201456
14,19,0.21597218822060107
14,20,0.13448670408742072
14,21,0.13836697112250168
14,22,0.11395064219148265
14,23,0.09044728478154872
14,24,0.033693687318919016
15,15,1.0000000000000002
15,16,0.5590467444963212
15,17,0.42793515930853826
15,18,0.3558258510011301
15,19,0.28901169439452923
15,20,0.20918662813648975
15,21,0.19212882652307264
15,22,0.16541575373305661
15,23,0.15091368250500858
15,24,0.09028671139071666
16,16,0.9999999999999997
16,17,0.7192753904775779
16,18,0.5754323841152844
16,19,0.4611247903147915
16,20,0.36267629052866934
16,21,0.32401136651834156
16,22,0.3032130181988233
16,23,0.26173984207468504
16,24,0.18895136931471174
17,17,1.0000000000000004
17,18,0.7795822461010982
17,19,0.6117796025955089
17,20,0.43675345208543764
17,21,0.38659509783889956
17,22,0.3478405587894252
17,23,0.3035037699326519
17,24,0.22045576410190396
18,18,0.9999999999999999
18,19,0.7578439016861441
18,20,0.5276928338429345
18,21,0.45546727675539256
18,22,0.40266715834912326
18,23,0.3543060804270391
18,24,0.2514826590845415
19,19,1.0000000000000004
19,20,0.6484250836011739
19,21,0.5609249530721716
19,22,0.4866862927536362
19,23,0.40049088368340424
19,24,0.28977509796173784
20,20,1.0
20,21,0.8362808893723823
20,22,0.7238477938091887
20,23,0.5987545501607479
20,24,0.46302858707928074
21,21,0.9999999999999998
21,22,0.8482245372659074
21,23,0.7055119139455205
21,24,0.5405629650106009
22,22,1.0
22,23,0.8197074789514741
22,24,0.6359192911802575
23,23,1.0
23,24,0.7877443642708941
24,24,1.0
