layer,train_silhouette,val_silhouette,test_silhouette
0,0.0,0.0,0.0
1,0.019639967009425163,0.021622763946652412,0.021242810413241386
2,0.014337102882564068,0.014995831996202469,0.014518431387841702
3,0.01316594798117876,0.013625037856400013,0.012239784002304077
4,0.015806568786501884,0.015918193385004997,0.01431816816329956
5,0.01544585544615984,0.01562991365790367,0.014004817232489586
6,0.014116358943283558,0.014856318011879921,0.012693654745817184
7,0.01356531772762537,0.014477268792688847,0.012617700733244419
8,0.01335088349878788,0.014379363507032394,0.012259811162948608
9,0.013574834913015366,0.014487393200397491,0.012219150550663471
10,0.014262177050113678,0.014912458136677742,0.012761079706251621
11,0.014840519055724144,0.01570538431406021,0.013039708137512207
12,0.014732583425939083,0.015790453180670738,0.01307415310293436
13,0.01635969616472721,0.017220178619027138,0.014865915291011333
14,0.02020449750125408,0.020062372088432312,0.018530817702412605
15,0.02059423364698887,0.02044544741511345,0.018890392035245895
16,0.025271447375416756,0.025084534659981728,0.02404717728495598
17,0.024140233173966408,0.023592254146933556,0.023028884083032608
18,0.023017853498458862,0.022392811253666878,0.02217562310397625
19,0.02239871956408024,0.02181379497051239,0.02176828868687153
20,0.02567615918815136,0.02559562399983406,0.025162791833281517
21,0.024478796869516373,0.024119915440678596,0.02378975786268711
22,0.023086106404662132,0.02258358523249626,0.022201448678970337
23,0.022015158087015152,0.02170746959745884,0.021216828376054764
24,0.021462993696331978,0.02085014060139656,0.020463984459638596
