layer_a,layer_b,cosine
8,15,0.03560744186573987
8,16,0.020903380866842267
8,17,0.04109892029156956
8,18,0.0336881103986203
8,19,0.06700006476987716
8,20,0.03787851356913251
8,21,0.046126294521186446
8,22,0.0622174640603783
8,23,0.04872274493283743
8,24,0.05166967075085781
9,9,1.0
9,10,0.4432202608135397
9,11,0.2680817249227769
9,12,0.2060206136564099
9,13,0.11669515535225936
9,14,0.08661703590138783
9,15,0.06652135229623914
9,16,0.027837308858677762
9,17,0.011688972218192659
9,18,0.007220131115680779
9,19,0.007918287030305794
9,20,0.006113463824352866
9,21,0.031412762997622676
9,22,0.03688438216964249
9,23,0.015840440605869675
9,24,0.0075142640776837836
10,10,1.0000000000000004
10,11,0.38831202610620613
10,12,0.28123441429746693
10,13,0.15230590729635085
10,14,0.10423703328904185
10,15,0.1025066634241664
10,16,0.05104107612452115
10,17,0.04407581742066938
10,18,0.026494380842769814
10,19,0.023057439317040913
10,20,0.014660879635624968
10,21,0.017180935225306542
10,22,0.01609845411016004
10,23,0.022891630607773963
10,24,0.005594091178019281
11,11,1.0
11,12,0.4452555734462831
11,13,0.24873004914948077
11,14,0.17516974309960961
11,15,0.11024561037492805
11,16,0.08779777692290494
11,17,0.05870471174050461
11,18,0.04602077475205567
11,19,0.023180775247458686
11,20,0.04708327860961508
11,21,0.04291535285090729
11,22,0.02703856312768886
11,23,0.022729555437583947
11,24,0.020566531550446833
12,12,1.0000000000000002
12,13,0.4194772082971422
12,14,0.22075832120119832
12,15,0.12676773421707058
12,16,0.11218708918602595
12,17,0.059080880883984305
12,18,0.053558678389955906
12,19,0.0379480866507824
12,20,0.04386702428740178
12,21,0.05936215043285704
12,22,0.04647140749689585
12,23,0.04048686942208543
12,24,0.03901368978508106
13,13,0.9999999999999998
13,14,0.39936090112777084
13,15,0.19338497393023132
13,16,0.130320562175605
13,17,0.07423377919458887
13,18,0.05867071959597129
13,19,0.04376255714522575
13,20,0.04820826278664338
13,21,0.02911615715132123
13,22,0.004127486353382331
13,23,0.022711326482273957
13,24,0.006346153500483592
14,14,0.9999999999999999
14,15,0.37698957766268437
14,16,0.21759299559376732
14,17,0.1714619880798898
14,18,0.0954673953363163
14,19,0.07936083402185433
14,20,0.06574983684081229
14,21,0.0847663407702827
14,22,0.050911790294798975
14,23,0.05890214552852137
14,24,0.029030148345328223
15,15,0.9999999999999998
15,16,0.46724895119861454
15,17,0.3208919121134253
15,18,0.21802998506842175
15,19,0.17999337041013125
15,20,0.13155761403265054
15,21,0.13391834477090717
15,22,0.09653685279743351
15,23,0.07605764262125662
15,24,0.06613885218393135
16,16,1.0
16,17,0.5439760026242471
16,18,0.38321534443446015
16,19,0.2990507891380683
16,20,0.19330880605654038
16,21,0.15370905911923222
16,22,0.13230161236071378
16,23,0.10627394574209346
16,24,0.1030760895537347
17,17,1.0
17,18,0.6338838002125339
17,19,0.4513907887264078
17,20,0.31259087714224765
17,21,0.26223217466904075
17,22,0.2128114888962222
17,23,0.1799799842770624
17,24,0.1502540434107607
18,18,1.0
18,19,0.6695302647333398
18,20,0.41536143330724085
18,21,0.34531903306633477
18,22,0.26657675245603374
18,23,0.21635248190418574
18,24,0.19001877766033584
19,19,0.9999999999999999
19,20,0.5683322681569414
19,21,0.44979760266835966
19,22,0.35118545244546284
19,23,0.2689800032478929
19,24,0.2289400359946337
20,20,1.0000000000000004
20,21,0.7527168011580541
20,22,0.5870137850293395
20,23,0.45574598109790315
20,24,0.36990497750831763
21,21,0.9999999999999997
21,22,0.7587738907160023
21,23,0.5776345769317075
21,24,0.43542820591190656
22,22,1.0
22,23,0.7271564780967706
22,24,0.5452065614418824
23,23,1.0000000000000002
23,24,0.732687193843826
24,24,0.9999999999999997
