layer,train_silhouette,val_silhouette,test_silhouette
0,0.0,0.0,0.0
1,0.13345889747142792,0.13222680985927582,0.13596656918525696
2,0.06974509358406067,0.06847646087408066,0.0692012682557106
3,0.05909419804811478,0.05662846192717552,0.056911125779151917
4,0.043907370418310165,0.04195781052112579,0.04339896887540817
5,0.04616692289710045,0.04340505227446556,0.04623107984662056
6,0.04637470841407776,0.043384332209825516,0.046528298407793045
7,0.04785638675093651,0.044506996870040894,0.04710587114095688
8,0.04211752116680145,0.03828611224889755,0.041195496916770935
9,0.04612274467945099,0.042180802673101425,0.04540691524744034
10,0.043052613735198975,0.039704110473394394,0.04253585264086723
11,0.04057080298662186,0.03794858232140541,0.03986315429210663
12,0.042147643864154816,0.03959028422832489,0.04178578034043312
13,0.03989244997501373,0.036363378167152405,0.039119116961956024
14,0.03784993290901184,0.03531710058450699,0.0375751368701458
15,0.04080987349152565,0.03870831057429314,0.04026070982217789
16,0.09572768211364746,0.09393153339624405,0.0960039421916008
17,0.08180370181798935,0.08030413091182709,0.08176248520612717
18,0.07961556315422058,0.07730131596326828,0.0788649395108223
19,0.09389715641736984,0.09213261306285858,0.09351377189159393
20,0.07971755415201187,0.07778269797563553,0.08003858476877213
21,0.07360488921403885,0.07197930663824081,0.07384877651929855
22,0.06753683090209961,0.06619995087385178,0.06773766875267029
23,0.07155141979455948,0.07016737759113312,0.07169400900602341
24,0.051504235714673996,0.050289832055568695,0.0512680746614933
